"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","10123","PASTOR GESSIVALDO","7","PI","17777"
"2010","1","10123","PASTOR JEFERSON RODRIGUES","7","GO","24584"
"2010","1","10123","PASTOR MANOEL MARCOS","7","AC","1542"
"2010","1","10123","PASTOR MARDOQUEU","7","SE","18568"
"2010","1","10123","PASTOR ROBERTO SANTOS","7","PA","15228"
"2010","1","10123","PAULO LUIZ","7","MA","15603"
"2010","1","10123","PROFESSOR TEODORO","7","AL","205"
"2010","1","10123","REGINALDO FERREIRA","7","MS","11375"
"2010","1","10123","SIDELVAN NÓBREGA","7","BA","62386"
"2010","1","10123","SOCORRO SIMOES","7","RR","1120"
"2010","1","10123","VANDERLEI LACERDA","7","TO","2799"
"2010","1","10124","DUQUINHA","7","CE","48445"
"2010","1","10124","WELLITON CARLOS","7","PB","125"
"2010","1","10125","LUCAS OLIVEIRA","7","RJ","611"
"2010","1","10126","JORGE SIMOES","7","RJ","613"
"2010","1","10127","CARLOS PAULO","7","RJ","117"
"2010","1","1013","ANTONIO DOS ANJOS CONSTRUTOR","6","RJ","695"
"2010","1","1013","ELCIO AMANCIO","6","SP","2147"
"2010","1","1013","JULIANA PAULINA","6","GO","353"
"2010","1","1013","LURDITE MOURA","6","CE","680"
"2010","1","1013","MARTELLI","6","RO","2991"
"2010","1","1013","VALDEMAR HORTA","6","BA","1930"
"2010","1","10130","NONATO BOMBA","7","PA","932"
"2010","1","10133","FRANCINETE MAIA","7","PI","10"
"2010","1","10133","OBREIRO ANTÔNIO","7","GO","114"
"2010","1","10135","DEBORA SUELI","7","PA","5"
"2010","1","1014","JORGE FELIX","6","RJ","221"
"2010","1","10142","PROFESSOR SÉRGIO","7","MG","352"
"2010","1","10144","EDILENE SOUSA","7","PI","4"
"2010","1","10144","GERSON AUGUSTO","7","BA","1133"
"2010","1","10144","REGINA DE PAULA","7","PA","1016"
"2010","1","10145","SAMARA ALEGRIA","7","PA","5362"
"2010","1","10147","ANA PAULA CRUZ","7","CE","29852"
"2010","1","10147","PASTOR DIVINO","7","PA","22118"
"2010","1","1015","MARCIA NEVES","6","RJ","763"
"2010","1","10150","CLEBER EDSON","7","PA","12797"
"2010","1","10151","SERGIO BAHIA","7","PA","43"
"2010","1","10153","JOSÉ FIGUEIRA","7","GO","404"
"2010","1","1016","CIRO AGOSTINHO","6","RJ","524"
"2010","1","10163","ENGº. RODRIGO VIEIRA","7","MT","261"
"2010","1","10167","JESUS NUNES","7","PA","600"
"2010","1","1017","ANDERSON FARIAS","6","RJ","81"
"2010","1","1017","MAJOR RICARDO","6","GO","758"
"2010","1","10177","PASTOR DIMARLEY VITORINO","7","PA","639"
"2010","1","10190","CAPITÃO MARCEL","7","TO","36"
"2010","1","10190","GISLAINE","7","MS","106"
"2010","1","10190","MAJOR ARAUJO","7","GO","33092"
"2010","1","10190","MOREIRA SGT","7","PA","410"
"2010","1","10190","SARGENTO DAMAS","7","RO","129"
"2010","1","10193","SARGENTO IRIS","7","GO","2180"
"2010","1","1020","SAMPAIO","6","PA","984"
"2010","1","1020","SULIM","6","GO","53"
"2010","1","10200","FABRICIO JUNIOR","7","PA","96"
"2010","1","10200","GERCILIO OLIVEIRA","7","MG","233"
"2010","1","10200","GILENO PEREIRA","7","RR","368"
"2010","1","10200","HAROLDO SILVA","7","CE","841"
"2010","1","10200","PIXICO PINTOR","7","MA","238"
"2010","1","10200","PROFESSOR PERES","7","RS","1826"
"2010","1","10200","SARGENTO DE PAULA","7","RJ","1579"
"2010","1","10201","SEBASTIAO PANTOJA","7","PA","109"
"2010","1","10202","MANELIN","7","MA","1610"
"2010","1","1021","ALEXANDRE","6","MG","196"
"2010","1","1021","JOSE SUZART","6","RJ","264"
"2010","1","1021","MAJOR LACERDA","6","PA","410"
"2010","1","1021","SEU MORAES","6","PR","191"
"2010","1","10210","AQUELINO NUNES","7","SC","297"
"2010","1","10210","TIÃO DELEGADO","7","GO","142"
"2010","1","10211","ANA MORAES","7","PR","90"
"2010","1","10211","CRISTIANO","7","RO","226"
"2010","1","1022","BALTAZAR SALGADO","6","RJ","1093"
"2010","1","1022","IRMÃ GECILDA","6","MA","1367"
"2010","1","1022","SURDÃO","6","PA","392"
"2010","1","1022","TADASHI","6","BA","587"
"2010","1","10221","ZE DA RADIO","7","RJ","73"
"2010","1","10222","CIRO MOTA","7","RO","290"
